ime,gorovje,visina,geografska_sirina,geografska_dolzina,vrsta,st_ogledov,priljubljenost,mesto,st_poti,st_gsp_sledi,opis
Sveti Trije kralji,Pohorje in ostala severovzhodna Slovenija, 1181,"46,43769°N","15,45884°E"," koča, cerkev", 473837, 88% ,337. mesto,4,0,"Sveti Trije kralji so priljubljena izletniška točka štajerskih in drugih planincev. V bližini cerkve svetih Treh kraljev pa se nahaja penzion Jakec (včasih Štuhcev dom pri Treh kraljih), ki nudi gostinsko in drugo ponudbo. V neposredni bližini Treh kraljev pa je vse bolj priljubljeno smučišče, katerega radi obiskuje prebivalci okoliških krajev."

Dom na Košenjaku,Pohorje in ostala severovzhodna Slovenija, 1169,"46,63619°N","15,03218°E", koča, 321857, 67% ,903. mesto,2,0,"Dom na Košenjaku se nahaja severno od Dravograda na južnih pobočji Košenjaka. Razgled od doma je omejen predvsem proti jugu, kjer opazimo del Pohorja in Uršljo goro, na ostale strani ga ovira gozd in pobočje Košenjaka."

Kremžarjev vrh,Pohorje in ostala severovzhodna Slovenija, 1164,"46,52965°N","15,13416°E", vrh, 471065, 87% ,350. mesto,6,2,"Kremžarjev vrh je najbolj zahodni tisočak na Pohorju. Nahaja se severovzhodno od Slovenj Gradca. Z vrha, ki ima vpisno skrinjico in termometer zaradi gozda ni razgleda."

Razglednik,Pohorje in ostala severovzhodna Slovenija, 1147,"46,51178°N","15,56503°E", vrh, 356118, 72% ,770. mesto,1,0,"Razglednik je 1147m visok vrh, ki se nahaja ob smučišču Mariborsko Pohorje. Na vrhu stoji razgledni stolp, ki planincem in drugim obiskovalcem nudi lep razgled. Ob lepi vidljivosti lahko vidimo večji del Štajerske in okoliško hribovje, kjer se najlepše vidi del Pohorja in hribovje na drugi strani Dravske doline imenovano Kozjak."

Koča pod Kremžarjevim vrhom,Pohorje in ostala severovzhodna Slovenija, 1102,"46,52821°N","15,12847°E", koča, 453345, 85% ,408. mesto,6,0,"Koča se nahaja zahodno od Kremžarjevega vrha, ki je od koče oddaljen le nekaj minut hoje. Od koče, ki je točka slovenske planinske poti se vidi Uršlja gora. Nekaj več razgleda pa je na večji travnati jasi v bližini koče, kjer se nam odpre pogled proti Košenjaku."

Koča na Pesniku,Pohorje in ostala severovzhodna Slovenija, 1101,"46,51795°N","15,25121°E", koča, 371651, 74% ,712. mesto,2,0,Koča se nahaja na manjšem zaselku na travnatem pobočju nad Ribnico na Pohorju. Od koče je lep pogled na severna pobočja gozdnatega Pohorja.

Koča na Šumiku,Pohorje in ostala severovzhodna Slovenija, 1100,"46,48487°N","15,44409°E", koča, 388124, 76% ,650. mesto,2,0,Gozdarska koča Šumik se nahaja območju naravnega parka Pohorje. Okolica koče je primerna tako za sprehajalce kot kolesarje. 

Mariborska koča,Pohorje in ostala severovzhodna Slovenija, 1086,"46,5015°N","15,55552°E", koča, 522832, 93% ,188. mesto,9,1,"Mariborska koča je prva kontrolna točka SPP. Nahaja se severno od Slivniškega in zahodno od Hočkega Pohorja. Ker bližino koče obdaja gozd, je razgled omejen le na južno in deloma vzhodno stran."

Šteknetov vrh,Pohorje in ostala severovzhodna Slovenija, 1061,"46,5849°N","14,9637°E", vrh, 270, 7% ,2519. mesto,1,0,"Šteknetov vrh, na nekaterih zemljevidih označen tudi kot Štekneči vrh, je 1061 metrov visok vrh, ki se nahaja med Požegovim vrhom in Šteharskim vrhom. Na vrhu, ki je poraščen z gozdom se nahaja lesena klop, možic in tabla, ki označuje vrh."

Sv. Simon in Juda Tadej (Pernice),Pohorje in ostala severovzhodna Slovenija, 1059,"46,6399°N","15,105°E", cerkev, 360, 9% ,2466. mesto,2,0,"Pernice so naselje, ki se nahaja med Gortino, Kozjim vrhom in Bistriškim jarkom. Na Pernicah se nahajajo cerkev sv. Simona in Jude Tadeja, dom krajanov, večji spomenik NOB, nekdanje Planinsko zavetišče pri Knezu, kjer se nahaja vpisna skrinjica in več kmetij."

Pokeržnikov vrh,Pohorje in ostala severovzhodna Slovenija, 1055,"46,59715°N","14,9117°E", vrh, 350, 9% ,2471. mesto,3,0,"Pokeržnikov vrh je 1055 metrov visok vrh, ki se nahaja nad naseljem Strojna v občini Ravne na Koroškem. Z vrha, na katerem se nahaja vpisna skrinjica, se nam odpre lep razgled proti Uršlji gori, Smrekovškemu pogorju, Raduhi, Peci, Obirju in ostalim okoliškim goram."

Kapunar,Pohorje in ostala severovzhodna Slovenija, 1051,"46,6419°N","15,2525°E", vrh, 317707, 66% ,915. mesto,9,0,"Kapunar je 1051 m visok vrh nad Radljami ob Dravi. Tik pod vrhom stoji stara karavla in mejna stražarnica, ki jo danes uporabljajo radioamaterji.<br>Od karavle oz. Doma radioamaterjev se razprostira lep razgled na dolino Drave, na Pohorje, vidi se vas Remšak, Kapla, Duh na Ostrem vrhu...<br>Nekaj minut hoje od doma je vrh, s katerega pa ni nekega razgleda. Na vrhu je le rdeče-bela palica in kamen, ki označujeta mejo med Avstrijo in Slovenijo."

Sveti Jernej nad Muto,Pohorje in ostala severovzhodna Slovenija, 1038,"46,6532°N","15,1421°E"," vrh, cerkev, planina", 620, 13% ,2349. mesto,6,0,"Naselje Sveti Jernej nad Muto se nahaja na skrajnem zahodnem delu hribovja Kozjak, na najvišji točki naselja, na 1038 metrov visokem hribu pa se nahaja cerkev sv. Jerneja, ki se prvič omenja leta 1382. Ob cerkvi se nahaja še pokopališče, nekoliko nižje, ob domačiji Primož pa se nahaja še vpisna skrinjica, ob njej pa mogočna lipa."

Šteharski vrh (Šteharnikov vrh),Pohorje in ostala severovzhodna Slovenija, 1018,"46,5723°N","14,9848°E", vrh, 1610, 20% ,2159. mesto,5,0,"Šteharski oz. Šteharnikov vrh, tudi Črneška gora, je 1018 metrov visoka gora, ki se nahaja na jugovzhodnem delu Strojne, pogorja med levim bregom reke Meže in desnim bregom reke Drave. Na vrhu se nahaja nekaj klopi ter vpisna skrinjica z vpisno knjigo."

Bricnik,Pohorje in ostala severovzhodna Slovenija, 1017,"46,6358°N","15,1669°E", vrh, 920, 16% ,2281. mesto,8,0,"Bricnik je 1017 metrov visok vrh, ki se nahaja v hribovju Kozjak in sicer nad Muto. Na vrhu, ki ga prerašča gozd, se nahaja vpisna skrinjica z vpisno knjigo in žigom (žig KPP pa se nahaja pri Zavetišču Onuk - Glavar) ter miza in dve klopi, v bližini pa se nahaja še manjše znamenje."

Sveti Urh (Strojna),Pohorje in ostala severovzhodna Slovenija, 998,"46,5957°N","14,914°E", cerkev, 300, 8% ,2498. mesto,2,0,"Cerkev sv. Urha na Strojni se nahaja pod Pokeržnikovim vrhom. Od cerkve oz. bližnje okolice se nam odpre lep razgled na gore, ki se dvigajo nad Mežiško dolino."

Sveti Janez Krstnik na Ojstrici ,Pohorje in ostala severovzhodna Slovenija, 982,"46,6195°N","15,0357°E", cerkev, 195128, 48% ,1396. mesto,1,0,"Cerkev sv. Janeza Krstnika na Ojstrici, se nahaja ob robu razglednih pašnikov, na katerih se običajno pase škotsko govedo. Od cerkve oz. njene bližnje okolice, se nam odpre lep razgled na zahodni del Pohorja in vzhodne Karavanke, kjer izstopata Uršlja gora in Peca."

Slap Veliki Šumik,Pohorje in ostala severovzhodna Slovenija, 950,"46,48341°N","15,45342°E", slap, 416534, 80% ,543. mesto,3,1,"Veliki Šumik je 24m visok slap na rečici Lobnica, le ta pa izvira v Falskem ribniku. Veliki Šumik je s svojim velikim pretok tudi najmogočnejši slap na Pohorju, obenem pa tudi največji slap v Sloveniji, ki se nahaja na nekarbonatnih tleh. Dostop do slapu nam omogoča planinska pot, ki pa zahteva ustrezno obutev, saj je zaradi vlažnih in strmih pobočij velika nevarnost zdrsa."

Framski slap,Pohorje in ostala severovzhodna Slovenija, 925,"46,49816°N","15,55292°E", slap, 330842, 68% ,869. mesto,1,0,"Framski slap ali z drugim imenom slap Skalca, se nahaja že kmalu po izviru Framskega potoka.  Okoli slapu poteka lepo urejena pot, ki nam omogoča varen in lep pogled na 16m visok slap."

Sveti Urban (Radelca),Pohorje in ostala severovzhodna Slovenija, 920,"46,6414°N","15,2763°E", cerkev, 370, 9% ,2461. mesto,4,0,"Cerkev sv. Urbana na Radelci se nahaja na južnih pobočjih mejnega grebena Radelj. Od cerkve, ki je bila zgrajena sredi 17. stoletja zaradi bližnjega gozda, ni lepšega razgleda, se nam pa odpre nekaj razgleda na okoliške hribe z zgornjega dela travnika nad cerkvijo."

Janževski vrh,Pohorje in ostala severovzhodna Slovenija, 915,"46,5688°N","15,3042°E"," vrh, koča, cerkev", 360, 9% ,2468. mesto,2,0,"Janževski vrh je 915 metrov visoka gora, ki se nahaja nad desnim bregom reke Drave in levim bregom potoka Velka. Na vrhu se nahaja cerkve sv. Janeza, ki je znana po močni pozitivni energiji, ki z močnim zdravilnem sevanjem zdravi.<br>Ob cerkvi se nahaja lovska koča LD Janževski Vrh, ob robu katere se nahaja vpisna skrinjica z vpisno knjigo in žigoma.<br>Z vrha se nam odpre lep razgled na Pohorje in del vzhodnih Karavank, proti severu pa razgled zastira gozd."

Žavcarjev vrh,Pohorje in ostala severovzhodna Slovenija, 915,"46,60105°N","15,52321°E", vrh, 473194, 87% ,340. mesto,3,1,"Žavcarjev vrh je 915m visoka gora, ki se nahaja severno od reke Drave na pobočjih Kozjaka. Ker je vrh v celoti poraščen, z njega ni razgleda."

Hlebov vrh (Rdeči Breg),Pohorje in ostala severovzhodna Slovenija, 913,"46,56844°N","15,3402°E"," vrh, cerkev", 2333, 23% ,2095. mesto,2,0,"Rdeči breg se razprostira med sotesko Radoljne na vzhodu, med Dravo na severu in med potokom Velka na vzhodu. Od glavnega pohorskega masiva ga loči Ribniško-Lovrenško podolje. Ime ima po rdečih skrilavcih. Najvišja točka se nahaja na zahodu Hlebov vrh 913 m. Vrh je poraščen zato ni razgleda. Pod vrhom pa se nahaja znana izletniška točka sv Ignacij."

Sveti Duh na Ostrem Vrhu,Pohorje in ostala severovzhodna Slovenija, 904,"46,6149°N","15,4593°E", cerkev, 348069, 70% ,805. mesto,2,0,"Sveti Duh na Ostrem Vrhu je manjše naselje, ki se nahaja severno od reke Drave in ob meji z Avstrijo. Na hribu nad naseljem stoji cerkev sv. Duha iz 17. stoletja, od katere se nam odpre lep razgled po okoliškem hribovju. Žig in vpisna knjiga pa se nahajata v bližnji gostilni Heric."

Sveti Pankracij (Radelca),Pohorje in ostala severovzhodna Slovenija, 900,"46,6529°N","15,2995°E"," vrh, cerkev", 411, 10% ,2432. mesto,5,0,"Cerkev sv. Pankracija na Radelci se nahaja na mejnem grebenu med Slovenijo in Avstrijo, od leta 1966 naprej pa je po meddržavnem pogovoru cerkev v celoti na slovenskem ozemlju. Prva cerkev na omenjenem kraju je bila zgrajena že pred letom 1490, današnja pa je bila blagoslovljena 6. septembra 1910.<br>Z razglednega stolpa na zvoniku cerkve, ki je dostopen v poletnem času (v zimskem času od 15.11. do 15.4. je dostp onemogočen) se nam odpre lep razgled na vse strani. Na slovenski strani vidimo del Dravske doline, Pohorje in okoliško hribovje, na avstrijsko stran pa razgled seže do bližnje Golice / Koralpe do oddaljenih gora in krajev."

Slap Mali Šumik,Pohorje in ostala severovzhodna Slovenija, 890,"46,4862°N","15,45335°E", slap, 218329, 52% ,1303. mesto,1,1,"Slap Mali Šumik se prav tako kot njegov veliki brat nahaja na rečici Lobnica. Za Mali slap je značilno da ima dva dela. V prvem pada v treh skokih, ki skupaj merijo 9m, nato pa čez prag še nadaljnjih 9m, skupaj torej 18m."

Lovski dom LD Gradišče,Pohorje in ostala severovzhodna Slovenija, 880,"46,5388°N","15,1165°E", koča, 200, 5% ,2561. mesto,1,0,"Lovski dom lovske družine Gradišče se nahaja pod 926 metrov visokim Durnskim vrhom. Dom obdaja gozd, zato ni lepšega razgleda."

Koča na Žavcarjevem vrhu,Pohorje in ostala severovzhodna Slovenija, 863,"46,59957°N","15,52689°E", koča, 342178, 70% ,822. mesto,2,0,"Planinska koča se nahaja le nekaj 10 metrov pod Žavcarjevim vrhom, na pobočjih Kozjaka. Od koče, ki jo povečini obdaja gozd se nam odpre lep razgled le proti jugu, kjer lahko vidimo severovzhodni del Pohorja."

Sveti Danijel (nad Trbonjami),Pohorje in ostala severovzhodna Slovenija, 845,"46,59011°N","15,07287°E"," vrh, cerkev", 110, 3% ,2617. mesto,1,0,"Cerkev sv. Danijela se nahaja na obrobju naselja Sv. Danijel, le to pa nad Trbonjami. Od cerkve se nam odpre lep pogled proti Pohorju, Uršlji gori, Peci, ob lepi vidljivosti pa razgled seže vse do Kamniško Savinjskih Alp."

Golarjev vrh,Pohorje in ostala severovzhodna Slovenija, 843,"46,5753°N","15,0704°E", vrh, 150, 4% ,2593. mesto,1,0,"Golarjev vrh je 843 metrov visok z gozdom poraščen vrh, ki se nahaja južno do jugovzhodno od Cvitrškega sedla, le ta pa med Otiškim Vrhom in Svetim Danijelom."

Sveta Barbara nad Slovenj Gradcem,Pohorje in ostala severovzhodna Slovenija, 829,"46,51391°N","15,14508°E", cerkev, 219311, 52% ,1299. mesto,1,0,"Cerkev Svete Barbare se nahaja med smučiščem Kope in Kremžarjevim vrhom. Ker cerkev večinoma obdaja gozd ni lepega razgleda, opazimo lahko le nekaj pobočij Pohorja."

Sveti Trije Kralji (nad Radljami ob Dravi),Pohorje in ostala severovzhodna Slovenija, 820,"46,6368°N","15,1984°E"," vrh, cerkev", 411, 10% ,2433. mesto,3,0,"Cerkev Sv. Treh Kraljev se nahaja na 820 metrov visokem hribu, ki se dviga nad desnim bregom Radeljskega potoka. Od cerkve se nam odpre lep pogled na Pohorje in del Dravske doline."

Sveti Primož nad Muto,Pohorje in ostala severovzhodna Slovenija, 806,"46,6306°N","15,1584°E"," sedlo, cerkev", 450, 11% ,2417. mesto,5,0,"Sveti Primož nad Muto je raztreseno naselje, ki se dviga severno od Mute. Cerkev sv. Primoža in Felicijana, ki se nahaja v grebenu med Primoškim vrhom in Bricnikom, se prvič omenja leta 1425, od nje pa se odpre lep razgled proti dolini, kjer se lepo vidita Vuzenica in Muta, reki Dravi in Pohorju."

Zavetišče Onuk - Glavar,Pohorje in ostala severovzhodna Slovenija, 790,"46,6315°N","15,1681°E", koča, 240, 6% ,2539. mesto,3,0,"Zavetišče Onuk - Glavar se nahaja pod vrhom Bricnika v naselju Sv. Primož nad Muto. V zavetišču se dobi žig KPP (Koroška planinska pot), v njem pa se nahaja tudi bar Glavar, kjer je možno naročiti pijačo. Od zavetišča se odpre lep pogled na Dravsko dolino in Pohorje."

Anski vrh (nad Pamečami),Pohorje in ostala severovzhodna Slovenija, 756,"46,55314°N","15,07503°E"," vrh, cerkev", 240, 6% ,2541. mesto,1,0,"Anski vrh je razgleden vrh nad Pamečami, na katerem stoji cerkev sv. Ane. Od cerkve oz. bližnje okolice se nam odpre lep pogled proti Uršlji gori, Peci in okoliškemu hribovju."

Brinjeva gora (nad Prevaljami),Pohorje in ostala severovzhodna Slovenija, 723,"46,5592°N","14,9389°E"," vrh, cerkev", 2370, 23% ,2090. mesto,3,0,"Brinjeva gora je priljubljena izletniška točka Prevaljčanov, ki se nahaja med reko Mežo in Zelenbreškim potokom. Na vrhu se nahaja manjša podružnična cerkev sv. Kozme in Damijana, ob njej informativna tabla Slomškove romarske poti skozi prevalje, nekoliko stran pa še vpisna skrinjica z vpisno knjigo. "

Pečke,Pohorje in ostala severovzhodna Slovenija, 720,"46,5227°N","15,5408°E"," vrh, koča", 341500, 70% ,825. mesto,2,0,"Pečke so lahko dostopen in zadnje čase vse manj obiskan vrh, ki se nahaja severno od glavnega grebena Pohorja. Več obiska so deležne le 1. maja, ko tja gor poteka tradicionalni pohod. Razgled je zaradi dreves omejen, lepo pa se vidi del Maribora in Kozjaka, na drugi strani, ob lepem vremenu tudi Koralpe / Golica v Avstriji. Na vrhu je lovska koča z mizami, klopmi in igrali za otroke. Zraven je kažipot, v neposredni bližini pa tudi lepa markirana pot proti Glažuti, Arehu in dalje. Lahko pa se odpravite tudi do razglednega stolpa nad Bolfenkom ali proti vinorodnem Meranovem."

Sveta Magdalena (Brda),Pohorje in ostala severovzhodna Slovenija, 718,"46,4735°N","15,1601°E", cerkev, 117963, 37% ,1698. mesto,1,0,"Cerkev sv. Magdalene na Brdih se nahaja severno od vasi Dovže, le ta pa ob vznožju jugozahodnega dela Pohorja. Od cerkve se nam odpre lep razgled na Mislinjsko dolino in hribovje, ki se dviga nad omenjeno dolino."

Ribnica na Pohorju,Pohorje in ostala severovzhodna Slovenija, 715,"46,5354°N","15,2674°E"," koča, cerkev", 300, 8% ,2499. mesto,1,0,"Ribnica na Pohorju je naselje na severnem delu Pohorja. V naselju se nahajajo gasilski dom, osnovna šola, župnijska cerkev sv. Jerneja in podružnična cerkev sv. Lenarta, trgovina, več gostinskih lokalov, smučišče...<br>Iz naselja se nam odpre lep pogled na smučišče in okoliške hribe, ob lepi vidljivosti pa razgled seže vse do Golice / Koralpe."

Lobnikov vrh,Pohorje in ostala severovzhodna Slovenija, 705,"46,5613°N","15,4454°E", vrh, 129578, 39% ,1651. mesto,1,0,"Lobnikov vrh je gozdnat vrh nad Dravsko dolino, ki leži med naseljema Fala in Ruta. Z vzhoda zaradi svoje odmaknjenosti od glavnega pohorskega grebena zgleda kot osamelec. S ceste Dravograd - Maribor je videti kot najvišja točka gozdnatega grebena, ki se kot pomol zajeda v reko Dravo, ki na tem mestu, dela velik ovinek proti severu. Na sever se z njega, preko Štiblerjevega vrha (648 m), spušča greben, najprej dokaj zložno nato pa precej strmo proti reki Dravi. Na južnih pobočjih je posejan z mogočnimi samotnimi kmetijami in pašniki."

Tojzlov vrh,Pohorje in ostala severovzhodna Slovenija, 703,"46,60462°N","15,55985°E", vrh, 365680, 73% ,734. mesto,3,0,"Tojzlov vrh je z gozdom poraščen hrib, ki se nahaja na vzhodnem delu Kozjaka. Na vrhu stoji manjši kamnit spomenik NOB."

Planinski dom Kozjak,Pohorje in ostala severovzhodna Slovenija, 690,"46,60382°N","15,56151°E", koča, 290853, 62% ,1022. mesto,2,0,"Planinski dom se nahaja le nekaj metrov pod Tojzlovim vrhom na vzhodnih obronkih Kozjaka. Od doma zaradi gozda, ki le tega obdaja ni lepšega razgleda."

Lovska koča Radlje ob Dravi,Pohorje in ostala severovzhodna Slovenija, 622,"46,6338°N","15,2045°E", , 330, 8% ,2483. mesto,1,0,Lovska koča Radlje ob Dravi se nahaja med dolino Radeljskega potoka in cerkvijo Sv. Treh Kraljev. Od lovske koče se nam odpre lep razgled na del Dravske doline in Pohorje.

Brinjeva gora (nad Zrečami),Pohorje in ostala severovzhodna Slovenija, 616,"46,3764°N","15,4076°E"," vrh, cerkev", 320, 8% ,2486. mesto,2,0,"Brinjeva gora je markanten hrib, ki se nahaja med Zrečami in Oplotnico. Brinjeva gora je znana po več cerkvah, ki se po vrsti nahajajo po celotnem grebenu hriba. Z obeh strani vodi na vrh več poti."
